ts	imei	mwra	c.dogalize	c.android.gm	c.android.youtube	c.katana	c.android.chrome	c.updateassist	c.UCMobile.intl	c.raider	c.UCMobile.x86	c.android.vending
2018-05-05 10:00:00	3590433799317662105	1.00000	8.69891	11.83119	10.63944	5.00432	9.58397	12.38644	15.45906	18.06288	93.42681	53.26958
2018-05-05 10:01:00	8630330696303482311	1.00000	6.85692	8.56242	15.17541	8.75916	8.82208	0.98434	44.47313	63.79952	22.76625	78.64033
2018-05-05 10:02:00	359043379931766858	1.00000	13.51241	7.02404	11.55416	6.59886	9.80542	32.42311	28.57183	97.25473	32.97968	13.27110
2018-05-05 10:03:00	8630330696303482329	1.00000	6.35222	9.97430	16.38936	9.95467	7.21451	68.26339	82.08538	86.08855	1.85063	13.86785
2018-05-05 10:04:00	3590433799317661313	1.00000	12.11387	6.58267	13.14039	9.90764	10.49468	74.53961	30.00853	67.27392	71.70105	89.04926
2018-05-05 10:05:00	3590433799317662071	0.00000	8.84988	9.16669	13.49634	13.32552	10.61418	27.59283	88.00963	28.06936	87.39949	95.05823
2018-05-05 10:06:00	3590433799317661412	0.00000	10.32614	6.85907	14.14519	10.51811	8.54034	57.24319	0.49301	66.93075	27.44793	14.32013
2018-05-05 10:07:00	8630330696303482345	0.00000	7.23971	11.15359	16.42430	13.03138	12.56722	57.23920	16.55710	36.91916	0.86768	88.20355
2018-05-05 10:08:00	8630330696303481727	1.00000	9.31856	12.29539	11.24689	8.53274	8.36807	11.21625	65.08957	5.14643	97.69210	32.64957
2018-05-05 10:09:00	3590433799317662121	1.00000	11.95753	10.78991	13.47761	7.91036	8.38577	39.23477	75.30961	26.07312	21.57447	9.05549
2018-05-05 10:10:00	863033069630348131	1.00000	12.87704	9.26277	13.23760	7.45539	8.67660	46.71180	49.95441	26.45656	53.07084	17.18495
2018-05-05 10:11:00	8630330696303481610	0.00000	15.48265	5.04407	11.12155	17.39282	9.02751	92.19948	6.13616	50.76007	86.00660	8.35056
2018-05-05 10:12:00	8630330696303482485	1.00000	6.82455	10.35936	11.87609	9.84749	9.42241	61.39515	80.48453	84.07102	74.26499	19.06110
2018-05-05 10:13:00	359043379931766338	1.00000	11.23842	8.46442	12.19529	10.31560	7.59655	17.05999	89.60908	31.35814	50.15086	54.99742
2018-05-05 10:14:00	3590433799317661339	0.00000	11.22964	8.29769	13.30561	11.93087	6.99438	40.08782	50.87175	20.80908	74.56278	75.79213
2018-05-05 10:15:00	8630330696303481297	1.00000	8.51717	12.64332	14.64509	11.07406	8.66211	77.58031	90.17112	4.92926	63.60062	35.33778
2018-05-05 10:16:00	3590433799317661958	1.00000	8.00046	13.67808	14.85036	4.98210	6.19705	68.55050	78.85671	46.79925	74.13334	84.01403
2018-05-05 10:17:00	359043379931766619	0.00000	10.82527	9.58107	11.03149	11.08272	9.55957	45.62392	84.52489	33.69523	10.09773	29.52376
2018-05-05 10:18:00	8630330696303481842	1.00000	11.26167	6.99838	12.34317	7.56552	9.78984	64.85855	25.75437	60.64312	53.07974	38.49145
2018-05-05 10:19:00	8630330696303481958	1.00000	15.29090	10.23972	12.46380	9.75587	10.15427	89.57752	26.62538	25.68333	6.16361	79.52068
2018-05-05 10:20:00	3590433799317661362	1.00000	8.92276	11.54969	11.36350	2.88128	5.36311	90.11276	93.15944	96.76179	30.56637	81.95828
2018-05-05 10:21:00	863033069630348214	1.00000	9.34008	10.36237	10.85651	8.75887	10.89459	67.25545	94.91771	57.10768	57.93201	4.35628
2018-05-05 10:22:00	8630330696303481826	0.00000	14.53109	7.43397	13.10761	13.95793	12.49940	71.50477	49.73273	29.42535	29.22350	33.42594
2018-05-05 10:23:00	863033069630348214	0.00000	11.40857	8.77181	15.62907	10.58414	14.94161	62.04073	30.83507	65.41583	14.51745	88.35263
2018-05-05 10:24:00	863033069630348321	1.00000	6.44693	15.70730	14.16738	9.89219	9.77383	81.21897	48.83707	68.56890	22.31601	79.46132
2018-05-05 10:25:00	8630330696303482121	0.00000	13.96930	8.08595	8.13858	13.44123	8.69605	25.45675	66.36846	30.63098	66.21327	55.15239
2018-05-05 10:26:00	8630330696303482253	1.00000	13.01073	9.04592	12.82822	8.10791	9.12639	10.01705	10.02047	99.01943	38.38221	8.43732
2018-05-05 10:27:00	8630330696303481081	0.00000	12.05242	8.91798	14.05553	8.46023	8.21687	76.55959	1.88642	32.26241	54.57723	65.23094
2018-05-05 10:28:00	359043379931766650	0.00000	7.59982	6.01705	12.88892	11.73949	16.85753	13.40434	7.51382	24.82325	62.88929	3.91596
2018-05-05 10:29:00	3590433799317662345	1.00000	13.10280	8.56884	13.15908	7.90820	11.00368	51.59003	33.33879	19.75207	26.86589	27.97415
2018-05-05 10:30:00	359043379931766924	1.00000	6.68466	15.45305	12.04981	8.04929	9.18064	63.32798	67.34460	36.77134	71.99239	45.92348
2018-05-05 10:31:00	3590433799317662329	0.00000	13.86651	7.15653	10.12897	14.59787	7.35192	80.79473	88.91923	61.56353	36.98029	99.31553
2018-05-05 10:32:00	3590433799317661123	0.00000	6.98576	8.70160	13.65085	13.73832	11.44875	96.23977	98.00079	81.41083	75.70261	93.56348
2018-05-05 10:33:00	359043379931766619	1.00000	12.60902	8.57043	13.30957	10.92920	5.27734	98.43223	90.75816	50.05937	17.16591	38.32535
2018-05-05 10:34:00	863033069630348784	1.00000	10.45732	14.47732	12.13969	8.29042	9.59033	96.12642	67.09787	99.90197	47.20046	8.91892
2018-05-05 10:35:00	3590433799317661925	0.00000	8.32461	7.93471	11.06056	11.28421	11.79835	77.34553	30.37634	94.56422	23.08992	89.43325
2018-05-05 10:36:00	359043379931766130	0.00000	12.49761	5.94106	13.67856	6.70333	9.77220	9.88074	54.26078	88.25845	48.70798	8.54574
2018-05-05 10:37:00	8630330696303482402	1.00000	8.61410	12.83494	14.33861	6.07233	6.22209	60.56175	54.81817	60.34462	3.19225	53.83624
2018-05-05 10:38:00	8630330696303481131	0.00000	5.67960	7.31533	12.38528	15.93328	13.40803	79.99372	11.58347	35.29337	10.80234	8.74197
2018-05-05 10:39:00	3590433799317662220	0.00000	11.84149	8.33300	9.50675	14.90571	9.89300	10.22146	30.64041	32.15388	37.33298	58.27105
2018-05-05 10:40:00	8630330696303481586	1.00000	7.68879	7.88593	12.27867	5.62921	6.01565	99.66347	58.63842	58.42460	56.77587	7.10560
2018-05-05 10:41:00	3590433799317661883	0.00000	11.33487	8.38797	14.91611	7.62104	7.47149	87.59883	28.62103	13.96574	39.88745	35.90277
2018-05-05 10:42:00	8630330696303481867	1.00000	7.84015	14.58284	14.05135	9.15482	8.14390	46.52318	60.73096	12.89699	36.53751	63.04129
2018-05-05 10:43:00	8630330696303481016	0.00000	8.43182	9.97105	11.43085	13.74283	11.12098	89.14248	25.90568	96.63798	65.59726	9.84242
2018-05-05 10:44:00	3590433799317662360	0.00000	9.61814	10.28430	13.14138	7.67541	14.80916	60.50277	29.61335	17.72748	36.73714	17.71533
2018-05-05 10:45:00	3590433799317661305	1.00000	11.47943	9.13313	14.47329	7.16779	7.80908	60.19359	74.82983	32.60959	37.53769	66.50719
2018-05-05 10:46:00	863033069630348362	1.00000	14.88831	7.70242	13.43318	7.20301	6.46483	99.73581	14.13940	88.28157	73.87356	45.08956
2018-05-05 10:47:00	8630330696303482444	0.00000	16.12016	5.77938	5.60724	17.04267	3.96286	81.89801	42.55889	99.61620	32.90740	99.89323
2018-05-05 10:48:00	3590433799317661701	0.00000	12.57803	7.44136	11.24541	10.57479	8.87596	25.82701	58.59951	98.61197	51.39331	2.58292
2018-05-05 10:49:00	3590433799317662428	1.00000	13.98102	7.62033	12.87036	8.55997	11.98436	82.26257	51.86067	90.16946	79.11179	69.38926
2018-05-05 10:50:00	8630330696303482279	0.00000	14.58103	8.93057	11.54301	14.03568	7.94968	29.41362	24.94578	25.81383	41.93273	94.85532
2018-05-05 10:51:00	3590433799317661305	0.00000	9.28627	7.68954	10.63924	13.53868	7.38393	91.86282	89.19198	28.00165	76.30671	51.83455
