latitude	longitude	store_name	code	location	imei
41.55838	-81.56929	Collinwood	US	America/New_York	863033069630348438
8.62261	-70.20749	Barinas	VE	America/Caracas	3590433799317661818
23.29549	113.82465	Licheng	CN	Asia/Shanghai	359043379931766932
-8.73508	24.99798	Kamina	CD	Africa/Lubumbashi	3590433799317662097
29.53885	-95.44744	Fresno	US	America/Chicago	8630330696303481305
51.955	5.22778	Culemborg	NL	Europe/Amsterdam	8630330696303482014
20.28527	-103.42897	Jocotepec	MX	America/Mexico_City	3590433799317662279
52.57583	6.61944	Hardenberg	NL	Europe/Amsterdam	359043379931766015
14.46693	75.92694	Davangere	IN	Asia/Kolkata	8630330696303482469
-4.42472	-41.45861	Pedro II	BR	America/Fortaleza	8630330696303481321
50.82709	6.9747	Wesseling	DE	Europe/Berlin	359043379931766346
-11.94306	-76.70944	Chosica	PE	America/Lima	359043379931766668
0.46005	34.11169	Busia	KE	Africa/Nairobi	863033069630348578
38.58894	-89.99038	Fairview Heights	US	America/Chicago	3590433799317662196
9.89206	43.38531	Baki	SO	Africa/Mogadishu	3590433799317661149
52.4089	31.3237	Dobrush	BY	Europe/Minsk	8630330696303481289
35	136.51667	Komono	JP	Asia/Tokyo	863033069630348511
-6.25	38.66667	Mvomero	TZ	Africa/Dar_es_Salaam	8630330696303481990
53.49389	-1.29243	Mexborough	GB	Europe/London	3590433799317661297
-33.88096	151.07986	Strathfield	AU	Australia/Sydney	8630330696303481578
48.79325	2.29275	Fontenay-aux-Roses	FR	Europe/Paris	863033069630348040
53.16167	6.76111	Hoogezand	NL	Europe/Amsterdam	863033069630348685
55.62047	37.49338	Tyoply Stan	RU	Europe/Moscow	8630330696303482097
34.81667	137.4	Toyokawa	JP	Asia/Tokyo	8630330696303481735
9.82564	78.25795	Tiruppuvanam	IN	Asia/Kolkata	3590433799317661651
48.25	16.4	Floridsdorf	AT	Europe/Vienna	3590433799317661974
40.42386	-3.53261	San Fernando de Henares	ES	Europe/Madrid	863033069630348198
36.82167	128.63083	Eisen	KR	Asia/Seoul	8630330696303481503
-10.91722	-37.65	Lagarto	BR	America/Maceio	359043379931766155
11.8659	34.3869	Ar Ruseris	SD	Africa/Khartoum	359043379931766312
27.0174	49.62251	Al Jubayl	SA	Asia/Riyadh	8630330696303482121
14.14989	121.3152	Calauan	PH	Asia/Manila	863033069630348347
37.65639	126.835	Goyang-si	KR	Asia/Seoul	3590433799317662337
33.37526	74.3092	Rajaori	IN	Asia/Kolkata	3590433799317661875
40.65538	-74.38987	Scotch Plains	US	America/New_York	359043379931766445
43.62558	13.39954	Falconara Marittima	IT	Europe/Rome	8630330696303482295
50.09019	8.4493	Hofheim am Taunus	DE	Europe/Berlin	359043379931766429
47.05	15.46667	Sankt Peter	AT	Europe/Vienna	359043379931766270
49.738430	13.373637	Plzeň	CZ	Europe/Prague	3590433799317661800
14.37395	100.48528	Bang Ban	TH	Asia/Bangkok	3590433799317661396
49.88307	-119.48568	Kelowna	CA	America/Vancouver	359043379931766882
11.12018	76.11996	Manjeri	IN	Asia/Kolkata	8630330696303481131
37.1759	128.9889	T‚Äôaebaek	KR	Asia/Seoul	863033069630348438
-21.44345	-65.71875	Tupiza	BO	America/La_Paz	8630330696303481735
40.65538	-74.38987	Scotch Plains	US	America/New_York	3590433799317661719
37.49073	-2.77259	Baza	ES	Europe/Madrid	3590433799317661289
36.92574	14.72443	Ragusa	IT	Europe/Rome	8630330696303481081
42.50729	1.53414	les Escaldes	AD	Europe/Andorra	863033069630348990
-21.98333	16.91667	Okahandja	NA	Africa/Windhoek	359043379931766080
57.14369	-2.09814	Aberdeen	GB	Europe/London	863033069630348917
20.88953	-156.47432	Kahului	US	Pacific/Honolulu	359043379931766403
46.09273	-88.64235	Iron River	US	America/Menominee	359043379931766023
60.02427	30.28491	Kolomyagi	RU	Europe/Moscow	359043379931766981
10.66668	-61.51889	Port of Spain	TT	America/Port_of_Spain	3590433799317661552
39.08367	-84.50855	Covington	US	America/New_York	3590433799317662428
6.8485	3.64633	Shagamu	NG	Africa/Lagos	359043379931766023
11.15583	42.7125	'Ali Sabieh	DJ	Africa/Djibouti	359043379931766635
25.80565	68.49143	Bhit Shah	PK	Asia/Karachi	359043379931766262
50.71229	4.52529	Rixensart	BE	Europe/Brussels	8630330696303481891
48.46458	9.22796	Pfullingen	DE	Europe/Berlin	359043379931766775
48.8765	2.18967	Rueil-Malmaison	FR	Europe/Paris	863033069630348677
17.94979	-94.91386	Acayucan	MX	America/Mexico_City	863033069630348362
49.03685	8.70745	Bretten	DE	Europe/Berlin	8630330696303482030
-8.99167	125.21972	Maliana	TL	Asia/Dili	8630330696303481727
34.75856	136.13108	Ueno-ebisumachi	JP	Asia/Tokyo	359043379931766585
5.84752	-5.682	Lakota	CI	Africa/Abidjan	359043379931766346
40.56754	-89.64066	Pekin	US	America/Chicago	359043379931766643
38.10558	-1.86343	Caravaca	ES	Europe/Madrid	8630330696303482402
37.19723	122.05228	Tianfu	CN	Asia/Shanghai	359043379931766833
46.65581	32.6178	Kherson	UA	Europe/Kyiv	3590433799317661693
40.1675	34.37389	Sungurlu	TR	Europe/Istanbul	3590433799317661164
-7.01833	107.60389	Pameungpeuk	ID	Asia/Jakarta	359043379931766981
51.65333	5.2875	Vught	NL	Europe/Amsterdam	359043379931766403
51.47805	6.8625	Oberhausen	DE	Europe/Berlin	8630330696303481511
36.75965	137.36215	Namerikawa	JP	Asia/Tokyo	359043379931766908
14.0823	98.19151	Dawei	MM	Asia/Yangon	359043379931766759
48.8222	2.12213	Le Chesnay	FR	Europe/Paris	8630330696303481255
23.0072	-82.4017	Boyeros	CU	America/Havana	8630330696303481586
12.37169	123.62494	Masbate	PH	Asia/Manila	863033069630348503
51.08468	7.11393	Burscheid	DE	Europe/Berlin	8630330696303482162
41.24264	16.50104	Bisceglie	IT	Europe/Rome	8630330696303482113
12.35275	121.06761	San Jose	PH	Asia/Manila	863033069630348438
42.93369	-72.27814	Keene	US	America/New_York	863033069630348966
35.06667	135.21667	Sasayama	JP	Asia/Tokyo	863033069630348834
-27.50578	153.10236	Carindale	AU	Australia/Brisbane	8630330696303481602
36.33011	138.89585	Annaka	JP	Asia/Tokyo	359043379931766494
39.96097	-75.60804	West Chester	US	America/New_York	359043379931766890
17.06542	-96.72365	Oaxaca	MX	America/Mexico_City	8630330696303481222
35.50056	117.63083	Pingyi	CN	Asia/Shanghai	863033069630348867
32.54044	-82.90375	Dublin	US	America/New_York	3590433799317662121
