ts	imei	mwra	p.android.packageinstaller	p.android.chrome	p.android.gm	p.android.settings	p.android.documentsui	p.android.externalstorage	p.system	p.android.gms	p.android.vending	p.simulator	p.process.gapps	p.google	p.dogalize	p.katana	p.olauncher	p.android.defcontainer	p.browser.provider	p.inputmethod.latin	p.gms.persistent	p.notifier
2018-05-05 10:00:00	3590433799317662105	1.00000	11.52587	12.18793	13.34632	8.75302	9.65706	13.01900	14.04706	32.28502	0.03009	50.07024	45.20346	49.58228	35.04694	27.26292	43.46062	59.58520	23.71937	15.29499	64.06805	75.76406
2018-05-05 10:01:00	8630330696303482311	1.00000	11.29255	10.87245	12.86573	9.29131	10.26785	15.21037	9.61920	56.43986	0.00827	52.33814	37.43628	35.81490	55.44799	47.35942	9.02432	60.50794	65.59228	25.35998	23.01230	84.18894
2018-05-05 10:02:00	359043379931766858	1.00000	11.52696	13.54337	8.22384	11.55093	8.51376	9.70888	7.43730	48.18463	0.11611	50.41228	38.68711	36.18788	76.47314	21.08661	82.72813	0.97152	69.03312	5.35296	44.01710	33.75195
2018-05-05 10:03:00	8630330696303482329	1.00000	13.74914	9.57447	14.99808	9.52021	12.16027	12.73796	14.52004	32.07751	0.00237	58.82695	38.59649	58.67456	52.27572	86.21690	96.62044	28.01616	36.54009	13.37198	21.82786	61.00170
2018-05-05 10:04:00	3590433799317661313	1.00000	9.02097	10.33342	6.94011	13.06305	4.14244	8.13071	7.68649	47.76710	0.00481	44.17409	28.17151	26.25538	61.40786	29.49941	2.28209	58.33695	89.95967	5.45602	7.18094	83.44602
2018-05-05 10:05:00	3590433799317662071	0.00000	13.21680	8.94030	9.17143	8.27935	13.91596	10.29968	6.83112	62.70788	0.00148	62.45148	25.62411	45.20955	51.78625	37.58926	75.74384	56.30188	72.43371	39.18266	34.50859	11.51604
2018-05-05 10:06:00	3590433799317661412	0.00000	13.71034	12.77074	12.58108	11.90329	13.39571	7.50241	11.68515	41.71162	0.05373	64.50713	40.98507	48.72142	65.92272	53.53254	73.69529	92.24236	22.77266	60.21657	42.14418	10.87175
2018-05-05 10:07:00	8630330696303482345	0.00000	10.92106	7.48181	10.29912	8.63887	13.82004	8.91911	5.14154	31.60315	0.00039	45.31823	35.13998	54.86806	45.95253	74.58822	31.06163	15.42296	76.85206	96.68190	41.86468	63.05751
2018-05-05 10:08:00	8630330696303481727	1.00000	12.01568	10.29932	12.82501	8.17521	8.47855	12.34972	11.26084	57.57659	0.00483	61.50804	45.60369	43.85682	47.09117	54.19781	57.17740	52.11524	70.85514	28.21117	54.83669	52.84358
2018-05-05 10:09:00	3590433799317662121	1.00000	12.46016	11.86970	6.36662	10.02743	7.47871	6.97759	7.15573	37.21449	0.02182	38.23297	24.14611	65.26927	54.73702	14.54222	36.49760	15.57416	15.74396	71.82677	52.85294	2.65318
